Marca temporal,"Imagine que está en una conferencia de Educación. Un colega que trabaja en otra Institución Educativa le pregunta si recientemente probó algo diferente con sus alumnos que produjo resultados positivos, negativos, interesantes o mixtos.  Comparta aquí lo que le contaría a su colega:",Sugiera un #hashtag o título para su respuesta anterior:,P1 Mi experiencia produjo…,Pensando en la experiencia/ejemplo que compartí…Me enfoqué en…,Mi foco estuvo en cultivar en los estudiantes…,Los estudiantes aprenden a través de…,Lo que hice fue a pesar de…, Las decisiones fueron influenciadas por…,Mi papel como maestro fue…,Pensando en la experiencia/ejemplo que acabo de compartir… A los estudiantes de les animó a aprender…,El aprendizaje fue…,Las decisiones fueron influenciadas por…,Institución Educativa,Tipo,Esta situación me generó una sensación de…, Esta situación pasa…,Esta situación está relacionada con…,Grado en el que enseña, Género, Edad, El nivel de educación
11/5/2020 8:18:54,Que si y le cuento que hice,Compartir saberes,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,no estoy seguro,Todo el tiempo,El cuidado del medio ambiente,"6, 7, 8, 9, 10, 11",Mujer,50 a 59,Bachiller
11/5/2020 8:19:24,La elaboración de organizadores gráficos en grupo y a partir de un texto. ,Manejo la información y la organizo.,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Felicidad,De vez en cuando,Lo que hago en las horas de clase,"7, 8, 10, 11",Mujer,30 a 39,Postgrado
11/5/2020 8:22:06,Sí. Implementé una clase interactiva,#virtualtambienseaprende,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,Con Frecuencia,El trabajo en equipo,"7, 8, 9",Mujer,50 a 59,Universitario
11/5/2020 8:22:44,,,Resultados positivos,El desarrollo social del alumno,Buenas bases de comprensión para futuros aprendizajes,Aplicar lo aprendido haciendo cosas concretas,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Felicidad,Con Frecuencia,La forma cómo los estudiantes aprenden,,Mujer,,
11/5/2020 8:24:20,Unas actividades donde se involucre movimiento y a cada uno de los estudiantes,El movimiento total de cuerpo y mente,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Aplicar lo aprendido haciendo cosas concretas,Habilidades y capacitación,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Felicidad,De vez en cuando,La forma cómo los estudiantes aprenden,"9, 10, 11",Hombre,50 a 59,Postgrado
11/5/2020 8:24:22,Grabar con el celular un audio de su rutina diaria en inglés,#mydailyroutine,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Individual/independientemente,Liderado por el estudiante,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Felicidad,Con Frecuencia,La forma cómo los estudiantes aprenden,"8, 9, 10, 11",Mujer,40 a 49,Postgrado
11/5/2020 8:24:26,Unas actividades donde se involucre movimiento y a cada uno de los estudiantes,El movimiento total de cuerpo y mente,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Aplicar lo aprendido haciendo cosas concretas,Habilidades y capacitación,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Felicidad,De vez en cuando,La forma cómo los estudiantes aprenden,"9, 10, 11",Hombre,50 a 59,Postgrado
11/5/2020 8:25:26,"""Muestra Creativa"". Usando, reutilizando  y recuperando material de desecho. Propuesta hecha desde el área de tecnología e informática",#creandoalreutilizar,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Habilidades de vida prácticas/pensando en futura empleabilidad,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Individual/independientemente,Liderado por el estudiante,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,no estoy seguro,Casi nunca,El cuidado del medio ambiente,"6, 7, 8",Mujer,50 a 59,Postgrado
11/5/2020 8:26:18,Comencé a evaluar tipo pruebas saber,La evaluación de los estudiantes,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,Habilidades y capacitación,Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,no estoy seguro,Muy rara vez,Tecnología y herramientas digitales,"8, 10, 11",Hombre,50 a 59,Postgrado
11/5/2020 8:26:49,"Explorar las condiciones de vida de cada estudiante que le impida el desarrollo escolar. Conversar con los estudiantes, padres y otros familiares para apoyar de mejor manera a los estudiantes",Exploración en contexto de Hogar,Resultados mixtos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Abrir nuevos mundos para los estudiantes,Individual/independientemente,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,no estoy seguro,Con Frecuencia,La forma cómo los estudiantes aprenden,"7, 8, 9, 10, 11",Mujer,60 a 69,Postgrado
11/5/2020 8:27:19,Resultados positivos,#historiadeunestudiante,Resultados positivos,El desarrollo social del alumno,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",La IE y la Secretaría,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Angustia/miedo,Con Frecuencia,Mi aporte a la humanidad/al mundo/a los demás,"6, 7, 8, 10, 11",Hombre,50 a 59,Postgrado
11/5/2020 8:27:38,"En el aula de preescolar tenemos una caja de colores para el uso de todos, un día observe que habían pocos colores y pregunte al grupo qué paso y otra estudiante dijo que una de sus compañeras los tenia en su cartuchera, revisé dicha cartuchera y era cierto, a partir de esta situación evaluamos en grupo ese comportamiento y como resumen todos aceptaron que este comportamiento no estaba bien y que no puede volver a pasar en el salón.  ",Reflexión grupal.,Resultados positivos,El desarrollo social del alumno,Buenas bases de comprensión para futuros aprendizajes,Reflexionar y comprender,Habilidades y capacitación,Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,no estoy seguro,Casi nunca,Cómo resolver conflictos,,Mujer,30 a 39,
11/5/2020 8:28:17,Organizamos un encuentro virtual con los estudiantes en la cual realizamos una actividad sobre expresar emociones por medio de dibujos y explicar a los compañeros como se han sentido los días de cuarentena y las actividades que realizan en casa ,#ExpresandoEmociones ,Resultados positivos,El desarrollo social del alumno,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,Todo el tiempo,Relación con los estudiantes,,Mujer,20 a 29,Universitario
11/5/2020 8:28:43,"Le diría  que    últimamente  he combinado lo académico  con lo humano, es decir, no me centro exclusivamente en contenidos, sino que le he estado dando espacio a la escucha, a la atención  sobre todo lo que me rodea . Así he sentido que mi práctica pedagógica  ha mejorado.#",#pedagogía&humanidad,Resultados interesantes,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Las restricciones de tiempo,Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,Todo el tiempo,Cómo resolver conflictos,"7, 8, 10, 11",Mujer,50 a 59,Postgrado
11/5/2020 8:30:43,"realizar un proyecto de lectura al aula con estudiantes de grado once para hacerlo con niños de primaria ,interactuando entre ellos elaborando varias actividades.",lectura al aula,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,Con Frecuencia,Innovación / creatividad,"6, 7",Mujer,50 a 59,Postgrado
11/5/2020 8:30:55,Que sii.. que para lo q estaba trabajando en lengua castellana e n especial ...aprender a leer y a escribir / lema: cbiar el pensamiento y la forma de decirle al alumno cambiar el lenguajee  TODOS LEEMOS TODOS Y TODO SE PUEDE LEER,TODOS LEEMOS Y TODO SE PUEDE LEER ,Resultados mixtos,El desarrollo social del alumno,Habilidades de vida prácticas/pensando en futura empleabilidad,Aplicar lo aprendido haciendo cosas concretas,"Recursos educativos (ej.. tecnología, fondos, etc.)",Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Felicidad,Muy rara vez,La forma cómo los estudiantes aprenden,3,Mujer,30 a 39,Universitario
11/5/2020 8:33:25,En el grado tercero de la escuela la pradera los niños de este grado oscilan en edades de 7 y 8 años.. Ingresa al grado un alumno de una edad de 12 años. Es promovido del grado de procesos básicos... En su edad y comportamiento.. Es muy diferente al que tienen la mayoría del grupo... Los niños se sorprenden de su comportamiento. Quiere ser el líder y se burla de lo que hacen los niños. Los hace sentir incomodos. Hasta los inhibe al participar de las actividades.. ,El niño que quiere sobresalir,Resultados mixtos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Habilidades y capacitación,Estudiantes y padres,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,no estoy seguro,Con Frecuencia,Relación con los estudiantes,3,Mujer,50 a 59,Postgrado
11/5/2020 8:33:54,Mi experiencias en este año ha sido positivo por que pude continuar con mis rutinas de trabajos con mis alumnos virtualmente dia a dia. Ha sido muy productivo ya que la mayoría de mis alumnos me han trabajado y dado excelentes productos.,Mi gran experiencia virtial,Resultados positivos,El desarrollo social del alumno,Habilidades de vida prácticas/pensando en futura empleabilidad,Reflexionar y comprender,"Recursos educativos (ej.. tecnología, fondos, etc.)",Maestros y rectores,Ayudar a los estudiantes a alcanzar los objetivos,Individual/independientemente,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,De vez en cuando,La forma cómo los estudiantes aprenden,"4, 5",Mujer,40 a 49,Universitario
11/5/2020 8:36:28,"Recientemente me encontré con un escenario que me imposibilitaba avanzar adecuadamente en el proceso académico en el área de filosofía; la marcada dificultad del estudiantado frente a los procesos de interpretación y argumentación, además de la imposibilidad de establecer canales de comunicación asertiva que permitieran exponer y escuchar ideas y planteamientos adecuadamente. Con el paso de las semanas e inclusive de los meses se lograron avances significativos gracias a la articulación de los contenidos del área con los sucesos, eventos  y vivencias experimentadas por el estudiantado en su  cotidianidad, además de la implementación de las ""Tertulias Filosóficas"" que con el paso del tiempo se constituyeron en una valiosa herramienta para el fortalecimiento de competencias críticas, dialógicas y creativas.      ",#tertuliafilosófica,Resultados mixtos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Reflexionar y comprender,Las restricciones de tiempo,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,Con Frecuencia,La forma cómo los estudiantes aprenden,"6, 10, 11",Hombre,30 a 39,Postgrado
11/5/2020 8:37:27,"Un niño con problemas de lenguaje( casi mudo)  se angustiaba por no poder comunicarse y  esto afectaba emocionalmente a él y a la clase en general y generaba conflicto con otros chicos. Observe que los niños le adivinaba y el chico no se esforzaba por comunicarse, entonces lo que hice motivarlo a hablar y pedí que nadie le adivinara y que quienes compartían con el no le adivinara sino que le expresará  le comprendía lo que decía. El chico se esforzó por comunicarse y pudo pronunciar palabras que ayudaban a contextualizar la situación que vivía. Cuando el niño recibió  la emoción de sus compañeros por poder comunicarse parcialmente y que su profe lo premiaba con  abrazos o caritas felices y en general reconocía ante el  grupo su grandeza ,su lenguaje fue mejorando. Esto hizo que la convivencia en el grupo  mejorara y la autoestima del  chico también.",# Si puedo,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,Muy rara vez,Relación con los estudiantes,3,Mujer,50 a 59,Primaria
11/5/2020 8:38:06,"Al grupo 10-1 llegó un alumno con promoción anticipada en tiempo de pandemia, al contactarlo para darle la bienvenida, este se siente entusiasmado y motivado, pero pasados los días, el alumno no envía las actividades y yo procedo a contactarlo y el me cuenta que el abuelo tiene una enfermedad terminal y que él es el único que lo puede cuidar, procedo a motivarlo diciéndole que se le pueden dar oportunidades para presentar los trabajos y que se puede ser más flexible con los trabajos que debe enviar, a lo que contesta nuevamente animado, pero transcurrido el tiempo este no envía las actividades y se pierde contacto con el alumno; luego de un mes logro contactarme nuevamente con el estudiante y este me cuenta que le había tocado vender el celular y que apenas pudo conseguir uno nuevo, que estaba laborando, dado que tiene 18 años y que no sabía si continuar con el proceso académico, a lo que le respondí que todavía tenía tiempo para presentar las actividades y estrategias de apoyo, el alumno se anima nuevamente y en estos momentos está realizando los trabajos y enviándolos a los docentes ",Recuperando a un estudiante,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Las restricciones de tiempo,Maestros y rectores,Dar soporte emocional a los estudiantes,Individual/independientemente,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,De vez en cuando,Relación con los estudiantes,"8, 9, 10, 11",Hombre,30 a 39,Universitario
11/5/2020 8:39:46,"Realice una propuesta de escritura, dónde les daba unas pautas de como construir un cuento, con la temática de Mis vivencias en pandemia, con el fin de que los y las estudiantes ejerciten la narrativa y a la vez expresen los sentimientos que ésta situación genera en sus vidas.",#misvivenciasenpandemia,Resultados mixtos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,De vez en cuando,La forma cómo los estudiantes aprenden,,Mujer,50 a 59,Postgrado
11/5/2020 8:40:50,En mi grupo tengo un estudiante con trastorno déficit de atención e hiperactividad con comorbilidad en hiperactividad y trastorno oposicionista desafiante.,Inclusión.,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Maestros y rectores,Abrir nuevos mundos para los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Angustia/miedo,De vez en cuando,Cómo resolver conflictos,5,Mujer,50 a 59,Postgrado
11/5/2020 8:43:26,"En una de las clases con el grupo de noveno tuve una gran experiencia que medio buenos resultados con el manejo de la disciplina en clase, a cada estudiante se le dio una actividad para aplicar en clase con sus compañeros; en el momento que a los alumnos que son más saboteadores les tocó realizar la actividad pedían que no los fueran a sabotear, en ese momento medio la oportunidad de hacer una reflexión frente al caso que dos de los chicos hacían la sugerencia  y realmente fue muy productivo ya que se noto el cambio de ellos en clase.    ",Cambio de actitud,Resultados positivos,El desarrollo social del alumno,Comprensión del mundo que los rodea,Reflexionar y comprender,Las restricciones de tiempo,Maestros y rectores,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Felicidad,Con Frecuencia,Cómo resolver conflictos,"9, 10, 11",Mujer,60 a 69,Postgrado
11/5/2020 8:46:13,educacion con la ludica,la ludica si sirve en el aprendizaje,Resultados positivos,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Las restricciones de tiempo,Estudiantes y padres,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el maestro,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Felicidad,Con Frecuencia,El trabajo en equipo,3,Hombre,50 a 59,Primaria
11/5/2020 8:47:43,Algo que me ha dado mucho resultado es cuando los niños intercambian  sus conocimientos,APRENDIENDO  CON MIS COMPAÑEROS,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Comprensión del mundo que los rodea,Experimentar y crear,Habilidades y capacitación,Estudiantes y padres,Ayudar a los estudiantes a alcanzar los objetivos,Socialmente/en grupo,Liderado por el estudiante,Prácticas establecidas,I.E SANTA ROSA DE LIMA,,Felicidad,Con Frecuencia,La forma cómo los estudiantes aprenden,4,Mujer,50 a 59,Postgrado
11/5/2020 8:47:56,Rincones expresivos sobre un tema de Regiones,#rinconesexpresivos,Resultados interesantes,Estimular el aprendizaje y transmitir prácticas,Buenas bases de comprensión para futuros aprendizajes,Experimentar y crear,Las restricciones de tiempo,Maestros y rectores,Dar soporte emocional a los estudiantes,Socialmente/en grupo,Liderado por el maestro,Necesidades emergentes,I.E SANTA ROSA DE LIMA,,Felicidad,De vez en cuando,El trabajo en equipo,5,Mujer,50 a 59,Universitario
